Pin No.,Pin Name,Feature / Comment,Signal or Label
1,PE2,GPIO_Output,M24SR64-Y-RF_DISABLE
2,PE3,GPIO_EXTI3,USB_OTG_OVRCR_EXTI3
3,PE4,GPIO_EXTI4,M24SR64-Y-GPO
4,PE5,GPIO_EXTI5,SPSGRF-915-GPIO3_EXTI5
5,PE6,GPIO_EXTI6,SPBTLE-RF-IRQ_EXTI6
6,VBAT,Voltage supply,VBAT
7,PC13,GPIO_EXTI13,BUTTON_EXTI13
8,PC14/OSC32_IN,RTC CLK,RCC_OSC32_IN
9,PC15/OSC32_OUT,RTC CLK,RCC_OSC32_OUT
10,VSS,GND,GND
11,VDD,3.3 V,VDD_MCU
12,PH0/OSC_IN,8MHz CLK,RCC_OSC_IN
13,PH1/OSC_OUT,8MHz CLK,RCC_OSC_OUT
14,NRST,reset,STM_NRST
15,PC0,ADC1_IN1,ARD_A5-ADC
16,PC1,ADC1_IN2,ARD_A4-ADC
17,PC2,ADC1_IN3,ARD_A3-ADC
18,PC3,ADC1_IN4,ARD_A2-ADC
19,VSSA,GND,GND
20,VREF-,GND,GND
21,VREF+,3.3 V,VDDA
22,VDDA,3.3 V,VDDA
23,PA0,UART4_TX,ARD_D1-UART4_TX
24,PA1,UART4_RX,ARD_D0-UART4_RX
25,PA2,TIM2_CH3,ARD_D10-SPI_SSN/PWM
26,PA3,GPIO_Output,ARD_D4
27,VSS,GND,VSS
28,VDD,3.3 V,VDD_MCU
29,PA4,GPIO_Output,ARD_D7
30,PA5,SPI1_SCK,ARD_D13-SPI1_SCK/LED1
31,PA6,SPI1_MISO,ARD_D12-SPI1_MISO
32,PA7,SPI1_MOSI,ARD_D11-SPI1_MOSI/PWM
33,PC4,ADC1_IN13,ARD_A1-ADC
34,PC5,ADC1_IN14,ARD_A0-ADC
35,PB0,TIM3_CH3,ARD_D3-PWM/INT1_EXTI0
36,PB1,TIM3_CH4,ARD_D6-PWM
37,PB2,GPIO_Output,ARD_D8
38,PE7,MEMS microphone,DFSDM1_DATIN2
39,PE8,GPIO_Output,ISM43362-RST
40,PE9,MEMS microphone,DFSDM1_CKOUT
41,PE10,QSPI NOR Flash memory,QUADSPI_CLK
42,PE11,QSPI NOR Flash memory,QUADSPI_NCS
43,PE12,QSPI NOR Flash memory,QUADSPI_BK1_IO0
44,PE13,QSPI NOR Flash memory,QUADSPI_BK1_IO1
45,PE14,QSPI NOR Flash memory,QUADSPI_BK1_IO2
46,PE15,QSPI NOR Flash memory,QUADSPI_BK1_IO3
47,PB10,I2C2_SCL,INTERNAL-I2C2_SCL
48,PB11,I2C2_SDA,INTERNAL-I2C2_SDA
49,VSS,GND,VSS
50,VDD,3.3 V,VDD_MCU
51,PB12,GPIO_Output,ISM43362-BOOT0
52,PB13,GPIO_Output,ISM43362-WAKEUP
53,PB14,GPIO_Output,LED2
54,PB15,GPIO_Output,SPSGRF-915-SDN
55,PD8,USART3_TX,INTERNAL-UART3_TX
56,PD9,USART3_RX,INTERNAL-UART3_RX
57,PD10,GPIO_EXTI10,LPS22HB_INT_DRDY_EXTI10
58,PD11,GPIO_EXTI11,LSM6DSL_INT1_EXTI11
59,PD12,GPIO_EXTI12,USB_OTG_FS_PWR_EN
60,PD13,GPIO_Output,SPBTLE-RF-SPI3_CSN
61,PD14,GPIO_EXTI14,ARD_D2-INT0_EXTI14
62,PD15,GPIO_EXTI15,HTS221_DRDY_EXTI15
63,PC6,GPIO_Output,VL53L0X_XSHUT
64,PC7,GPIO_EXTI7,VL53L0X_GPIO1_EXTI7
65,PC8,GPIO_EXTI8,LIS3MDL_DRDY_EXTI8
66,PC9,GPIO_EXTI9,LED3 (WIFI) & LED4 (BLE)
67,PA8,GPIO_Output,SPBTLE-RF-RST
68,PA9,USB_OTG,USB_OTG_FS_VBUS
69,PA10,USB_OTG,USB_OTG_FS_ID
70,PA11,USB_OTG,USB_OTG_FS_DM
71,PA12,USB_OTG,USB_OTG_FS_DP
72,PA13,ST-LINK,SYS_JTMS-SWDIO
73,VDDUSB,3.3 V,VDD_MCU
74,VSS,GND,GND
75,VDD,3.3 V,VDD_MCU
76,PA14,ST-LINK,SYS_JTCK-SWCLK
77,PA15,TIM2_CH1,ARD_D9-PWM
78,PC10,SPI3_SCK,INTERNAL-SPI3_SCK
79,PC11,SPI3_MISO,INTERNAL-SPI3_MISO
80,PC12,SPI3_MOSI,INTERNAL-SPI3_MOSI
81,PD0,GPIO_Output,PMOD-RESET
82,PD1,GPIO_Output,PMOD-SPI2_SCK
83,PD2,GPIO_EXTI2,PMOD-IRQ_EXTI2
84,PD3,USART2_CTS,PMOD-UART2_CTS/SPI2_MISO
85,PD4,USART2_RTS,PMOD-UART2_RTS/SPI2_MOSI
86,PD5,USART2_TX,PMOD-UART2_TX/SPI2_CSN
87,PD6,USART2_RX,PMOD-UART2_RX
88,PD7,GPIO_Output,STSAFE-A100-RESET
89,PB3,ST-LINK,SYS_JTDO-SWO
90,PB4,TIM3_CH1,ARD_D5-PWM
91,PB5,GPIO_Output,SPSGRF-915-SPI3_CSN
92,PB6,USART1_TX,ST-LINK-UART1_TX
93,PB7,USART1_RX,ST-LINK-UART1_RX
94,BOOT0,Boot,BOOT0
95,PB8,I2C1_SCL,ARD_D15-I2C1_SCL
96,PB9,I2C1_SDA,ARD_D14-I2C1_SDA
97,PE0,GPIO_Output,ISM43362-SPI3_CSN
98,PE1,GPIO_EXTI1,ISM43362-DRDY_EXTI1
99,VSS,GND,GND
100,VDD,3.3 V,VDD_MCU